headline,abstract,desk,locations,word_count,snippet,source,subjects,url,section,date,type,id
Kansas City Firemen Agree to Return to Work and Seek New Talks; No Closer to Contract Amnesty Called Key Issue,"Kansas City's firefighters to return to work Jan 2, ending their 12-day-old job action against city in attempt to open way for contract talks; Mayor Richard Berkley comments (M)",,MISSOURI,576,"KANSAS CITY, Mo., Jan. 1 (AP)-- Kansas City's firefighters will return to work tomorrow, ending their 12-day-old job action against the city in an attempt to open the way for contract talks, union leaders said tonight.",The New York Times,FIREMEN,http://query.nytimes.com/gst/abstract.html?res=9A0DEED61430E532A25751C0A9679C94619FD6CF,,1/2/1980,Article,4fc4a61145c1498b0dabad4e
Firefighters in Kansas City Return To Jobs as 12-Day Slowdown Ends; Pay Proposal 'Off the Table' 26 Could Be Jailed,"firefighters return to their stations, taking over duties from National Guard troops and police officers; union president John Germann, Berkley, city personnel director Thomas Lewinsohn and special prosecutor John Gibson comment; illus (M)",,MISSOURI,512,"KANSAS CITY, Mo., Jan. 2 (AP)-- Firefighters embroiled in their second labor dispute in four years ended a 12-day job action against the city and returned to their stations today, taking over duties from National Guard troops and police officers.",The New York Times,FIREMEN,http://query.nytimes.com/gst/abstract.html?res=9D05EEDA173BE732A25750C0A9679C94619FD6CF,,1/3/1980,Article,4fc4a89a45c1498b0dac6015
WESTCHESTER JOURNAL,comment on proposed fair housing ordinance for White Plains and Mayor Del Vecchio's unhappiness with it (M),,NEW YORK STATE,1613,"ONE of the reasons Mayor Alfred Del Vecchio of White Plains is unhappy with a proposed ordinance for fair hous  ing is, he says, that it leaves the impression that the city doesn't already have it.",The New York Times,"HOUSING, DISCRIMINATION",http://query.nytimes.com/gst/abstract.html?res=990DE1DF143BE732A25750C1A9679C94619FD6CF,,1/4/1980,Article,4fc49acd45c1498b0da8996b
WITH THE AFGHAN REBELS; AFGHAN,"Pakistani journalist M Zfzal Khan article on Islamic insurrection in Oct '79, Gardez, and subsequent political power struggles that led to invasion; map; illustrations (L)",,AFGHANISTAN,5069,"On a frosty moonlit night in early October, 7,000 feet up in Afghanistan's rugged Zurmut Valley, 3,200 Afghan guerrillas advanced on the military garrison at Gardez, 60 miles south of the capital city of Kabul.",The New York Times,,http://query.nytimes.com/gst/abstract.html?res=9A01E7D6173BE732A25750C1A9679C94619FD6CF,,1/5/1980,Article,4fc4a60f45c1498b0daba9f8
Ex-Saigon Official Tells of 'Re-education' by Hanoi; Ex-Saigon Aide Tells of 'Re-education' Stenographers to Colonels Key From Paris Hotel Men Worked 10-Hour Days Made to Write 'Confessions' Two-Month Ordeal Convinced It Was a Charade Borrowed Money for Passages Some Views Have Changed,illus of bombed office,,"VIETNAM, UNION OF SOVIET SOCIALIST REPUBLICS",3424,"VAN NUYS, Calif. A former South Vietnamese Army officer and official who spent four years in Vietnam under the Communists, more than half of them in a ""re-education camp"" and prisons,...",The New York Times,"POLITICS AND GOVERNMENT, POLITICS AND GOVERNMENT",http://query.nytimes.com/gst/abstract.html?res=9B02E7DB1538E732A25757C1A9679C94619FD6CF,,1/6/1980,Front Page,4fc4a4ec45c1498b0dab634b
Rights Panel Reports Crackdown On Dissidents in the Soviet Union,"Amnesty International says Soviet Union for last 3 months has been conducting 'major' new crackdown on dissidents, roundup seen by some as cleansing operation before Moscow Olympics; dissidents in Moscow say Dmitri Dudko, a Russian Orthodox priest whose outspoken writing and preaching have brought him in conflict with Soviet authorities, has been detained by police; Amnesty says Government has arrested or tried more than 40 people for 'nonviolent exercise of human rights' (S)",,UNION OF SOVIET SOCIALIST REPUBLICS,144,"LONDON, Jan. 15 (AP)--Amnesty International said today that the Soviet Union for the last three months had been conducting a ""major"" new crackdown on dissidents, a roundup seen by some as a cleansing operation before the Moscow Olympics.",The New York Times,"OLYMPIC GAMES (1980), SUMMER GAMES, POLITICS AND GOVERNMENT",http://query.nytimes.com/gst/abstract.html?res=9E04E7DE1530E532A25755C1A9679C94619FD6CF,,1/7/1980,Article,4fc4a61445c1498b0dabb0f1
No Tighter Curbs Seen in Soviet Since Afghan Crisis; Permission to Leave Priest Taken Away Reasons Still Unclear,"Despite series of arrests and trials of dissidents that started a month ago, there is no sign yet that Soviet authorities have taken major repressive steps as result of international crisis over Afghanistan; members of Jewish community in Moscow report that they are still getting exit visas, as more than 50,000 of them did in '79; prominent dissidents such as Dr Andrei Sakharov and Marxist historian Roy A Medvedev continue to associate freely with foreign journalists (M)",,"AFGHANISTAN, UNION OF SOVIET SOCIALIST REPUBLICS",1153,"MOSCOW, Jan. 16 Despite a series of arrests and trials of dissidents that started months ago, there is no sign yet that Soviet authorities have taken major repressive steps as a result of the international crisis over Afghanistan.",The New York Times,POLITICS AND GOVERNMENT,http://query.nytimes.com/gst/abstract.html?res=9902E7DA1538E732A25754C1A9679C94619FD6CF,,1/8/1980,Article,4fc4a76945c1498b0dac12ab
World News Briefs; Guerrilla Presence Delays Aid to Cambodian Refugees Big Rally in Peking Hears 15 Sentenced for Crimes Amnesty International Aides Say Colombia Hinders Them,agencies again delay deliveries because of continued presence of armed guerrillas; Pol Pot loyalists swarmed food trucks at camp recently (S),,"COLOMBIA, u""CHINA, PEOPLES REPUBLIC OF"", CAMBODIA",342,agencies again delay deliveries because of continued presence of armed guerrillas; Pol Pot loyalists swarmed food trucks at camp recently (S),The New York Times,CRIME AND CRIMINALS,http://query.nytimes.com/gst/abstract.html?res=9E0DE0DA1538E732A2575AC1A9679C94619FD6CF,,1/9/1980,Article,4fc4a61345c1498b0dabafb7
Fearful Guatemalans Seek Closer Ties to Guerrillas; Guerrillas Grow Stronger 'Siege Mentality' Seen,"Many Guatemalan labor and political leaders have chosen to go into hiding and seek closer ties with nation's leftist guerrillas in wake of assassination of numerous opposition figures in '79; centrist opposition figures, who say they too live in fear of being murdered, blame army-backed regime of Pres Romeo Lucas Garcia for radicalization of opposition; main beneficiaries of repression appear to be nation's 2 leftist groups, Guerrilla Army of the Poor and Organization of People in Arms, both of which are growing in strength and popularity; political divisions in Guatemala have been accentuated by Sandinist victory in Nicaragua and leftist insurgency in El Salvador; illus (M)",,GUATEMALA,835,"GUATEMALA, Jan. 14 After the assassination of numerous opposition figures here last year, many Guatemalan labor and political leaders have chosen to go into hiding and seek closer ties with the country's leftist guerrillas.",The New York Times,,http://query.nytimes.com/gst/abstract.html?res=9E0DE6D91538E732A25752C2A9679C94619FD6CF,,1/10/1980,Article,4fc4a78845c1498b0dac1785
Zaire Kidnapping Bid Reported,"Security officials in Brussels, Belgium, try to force Joseph Nsele, opponent of Pres Mobutu, on plane back to Kinshasa in apparent kidnapping attempt (S)",,"ZAIRE, REPUBLIC OF",87,"BRUSSELS, Jan. 21 (AP) Zairian security officials tried to force an opponent of President Mobutu Sese Seko, Joseph Nsele, on a plane back to Kinshasa in an apparent kidnapping attempt during the weekend, Amnesty International-Belgium said today.",The New York Times,,http://query.nytimes.com/gst/abstract.html?res=9E03E1D91538E732A25751C2A9679C94619FD6CF,,1/11/1980,Article,4fc49ad045c1498b0da89bf5
