date,country,href,tite
1996-07-10,Algeria,/en/documents/mde28/003/1996/en/,Algeria: Further information on prisoner of conscience: Chawki Laamari
1996-07-10,Algeria,/en/documents/mde28/003/1996/es/,Algeria: Further information on prisoner of conscience: Chawki Laamari
1996-07-10,Turkey,/en/documents/eur44/106/1996/en/,"Turkey: Further information on fear of ""disappearance"" and new concern: fear of torture: Abdurrahman Celikbilek"
1996-07-10,Lebanon,/en/documents/mde15/048/1996/en/,Israel / South Lebanon: Further information on: incommunicado detention / fear of torture or ill-treatment: 'Ali Diya
1996-07-09,India,/en/documents/asa20/034/1996/en/,India: Further information on fear of ill-treatment / arbitrary arrest/ medical concern: 791 Bhutanese people from refugee camps in eastern Nepal
1996-07-09,India,/en/documents/asa20/034/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-09,Americas,/en/documents/amr29/008/1996/es/,El Salvador: Fear for safety
1996-07-09,Iran,/en/documents/mde13/024/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-09,Americas,/en/documents/amr29/008/1996/en/,El Salvador: Fear for safety
1996-07-09,Iran,/en/documents/mde13/024/1996/en/,Iran: Further information on death penalty
1996-07-08,Africa,/en/documents/afr20/002/1996/en/,Chad: Fear of ill-treatment / possible prisoner of conscience: Ngarlegy Yorongar le Moiban
1996-07-08,Pakistan,/en/documents/asa33/006/1996/en/,Pakistan: Fear for safety / unacknowledged detention
1996-07-08,United States of America,/en/documents/amr51/057/1996/en/,USA (Nebraska): Further information on: death penalty: John Joubert
1996-07-08,Turkey,/en/documents/eur44/105/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-08,Africa,/en/documents/afr47/010/1996/es/,Rwanda: Further information on: fear for safety / fear of ill-treatment
1996-07-08,Mexico,/en/documents/amr41/036/1996/en/,Mexico: Fear for safety
1996-07-08,United States of America,/en/documents/amr51/057/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-08,Africa,/en/documents/afr47/010/1996/en/,Rwanda: Further information on: fear for safety / fear of ill-treatment
1996-07-08,Pakistan,/en/documents/asa33/006/1996/es/,Pakistan: Fear for safety / unacknowledged detention
1996-07-08,Mexico,/en/documents/amr41/036/1996/es/,Mexico: Fear for safety
1996-07-08,Turkey,/en/documents/eur44/105/1996/en/,Turkey: Further information on fear of torture / torture / extrajudicial execution
1996-07-07,Americas,/en/documents/amr34/021/1996/es/,Guatemala: Fear for safety: Carlos Federico Reyes Lopez and his family
1996-07-07,Mexico,/en/documents/amr41/035/1996/en/,Mexico: Fear for safety: Fabiola Cancino de los Santos (f)
1996-07-07,Mexico,/en/documents/amr41/035/1996/es/,Mexico: Fear for safety: Fabiola Cancino de los Santos (f)
1996-07-07,Americas,/en/documents/amr34/021/1996/en/,Guatemala: Fear for safety: Carlos Federico Reyes Lopez and his family
1996-07-07,Americas,/en/documents/amr34/020/1996/es/,Guatemala: Further information on fear for safety: Otto Leonel Hernandez
1996-07-07,Egypt,/en/documents/mde12/018/1996/en/,Egypt: Death penalty
1996-07-07,Egypt,/en/documents/mde12/018/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-07,Americas,/en/documents/amr34/020/1996/en/,Guatemala: Further information on fear for safety: Otto Leonel Hernandez
1996-07-04,Mexico,/en/documents/amr41/034/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-04,Bahamas,/en/documents/amr14/009/1996/en/,Bahamas: Further information on death penalty
1996-07-04,United States of America,/en/documents/amr51/054/1996/en/,USA (Indiana): Further information on: death penalty: Tommie J. Smith (also known as Ziyon Yisrayah)
1996-07-04,Kenya,/en/documents/afr32/009/1996/en/,Kenya: Further information on: prisoner of conscience / health concern: Njehu Gatabaki
1996-07-04,Kenya,/en/documents/afr32/009/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-04,Mexico,/en/documents/amr41/033/1996/en/,Mexico: Further information on: possible extrajudicial execution / fear for safety
1996-07-04,Sudan,/en/documents/afr54/013/1996/es/,Sudan: Fear of ill-treatment / possible prisoners of conscience / health concern
1996-07-04,Bahamas,/en/documents/amr14/009/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-04,United States of America,/en/documents/amr51/055/1996/en/,USA (Virginia): Death penalty: Joseph Savino
1996-07-04,United States of America,/en/documents/amr51/055/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-04,Egypt,/en/documents/mde12/017/1996/en/,Egypt: Death penalty: 'Assem Labib Hassan
1996-07-04,Mexico,/en/documents/amr41/033/1996/es/,Mexico: Further information on: possible extrajudicial execution / fear for safety
1996-07-04,Iran,/en/documents/mde13/023/1996/es/,Iran: Fear of execution: Niyaz 'Ali
1996-07-04,Mexico,/en/documents/amr41/034/1996/en/,Mexico: Fear for safety / fear of torture
1996-07-04,Sudan,/en/documents/afr54/013/1996/en/,Sudan: Fear of ill-treatment / possible prisoners of conscience / health concern
1996-07-04,Egypt,/en/documents/mde12/017/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-04,Iran,/en/documents/mde13/023/1996/en/,Iran: Fear of execution: Niyaz 'Ali
1996-07-04,United States of America,/en/documents/amr51/054/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-03,Algeria,/en/documents/mde28/002/1996/en/,Algeria: Prisoner of conscience: Chawki Laamari
1996-07-03,Myanmar,/en/documents/asa16/032/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-03,Lebanon,/en/documents/mde15/047/1996/es/,Israel / South Lebanon: Incommunicado detention / fear of torture or ill-treatment: 'Ali Diya
1996-07-03,Turkey,/en/documents/eur44/103/1996/es/,"Turkey: Fear of ""disappearance"" / fear for safety"
1996-07-03,Algeria,/en/documents/mde28/002/1996/es/,Algeria: Prisoner of conscience: Chawki Laamari
1996-07-03,Myanmar,/en/documents/asa16/032/1996/en/,Myanmar: Further information on: fear of torture / legal concern: Some 33 people still detained
1996-07-03,Lebanon,/en/documents/mde15/047/1996/en/,Israel / South Lebanon: Incommunicado detention / fear of torture or ill-treatment: 'Ali Diya
1996-07-03,Turkey,/en/documents/eur44/103/1996/en/,"Turkey: Fear of ""disappearance"" / fear for safety"
1996-07-02,Indonesia,/en/documents/asa21/038/1996/en/,Indonesia: Further information on use of excessive force / fear for safety / fear of ill-treatment: Indonesian Democratic Party demonstrators in Jakarta
1996-07-02,Indonesia,/en/documents/asa21/038/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-02,Americas,/en/documents/amr23/040/1996/en/,Colombia: Further information on: possible extrajudicial execution / fear for safety
1996-07-02,Americas,/en/documents/amr23/040/1996/es/,Colombia: Further information on: possible extrajudicial execution / fear for safety
1996-07-02,Tunisia,/en/documents/mde30/020/1996/en/,Tunisia: Further information on: legal concern / probable prisoner of conscience / health concern: Khemais Chammari
1996-07-02,Turkey,/en/documents/eur44/102/1996/en/,Turkey: Further information on fear of torture
1996-07-02,Turkey,/en/documents/eur44/102/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-02,Tunisia,/en/documents/mde30/020/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-01,Mexico,/en/documents/amr41/032/1996/en/,"Mexico: ""Disappearance"" / fear for safety"
1996-07-01,Middle East and North Africa,/en/documents/mde16/004/1996/en/,Jordan: Death penalty / legal concern / torture: Mustafa Sulaiman 'Abd al-Latif Abu Hamid
1996-07-01,Middle East and North Africa,/en/documents/mde16/004/1996/es/,Jordan: Death penalty / legal concern / torture: Mustafa Sulaiman 'Abd al-Latif Abu Hamid
1996-07-01,Americas,/en/documents/amr34/018/1996/en/,Guatemala: Death penalty
1996-07-01,Americas,/en/documents/amr34/018/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-01,Mexico,/en/documents/amr41/032/1996/es/,"Mexico: ""Disappearance"" / fear for safety"
1996-07-01,United States of America,/en/documents/amr51/053/1996/es/,[SPANISH TITLE UNKNOWN]
1996-07-01,United States of America,/en/documents/amr51/053/1996/en/,USA: Further information on: death penalty: John Joubert
1996-06-30,Bahrain,/en/documents/mde11/020/1996/es/,Bahrain: Death penalty / legal concern.
1996-06-30,Turkey,/en/documents/eur44/101/1996/en/,"Turkey: Fear of ""disappearance"": Abdurrahman Celikbilek"
1996-06-30,Philippines,/en/documents/asa35/005/1996/en/,Philippines: Death penalty: Supreme Court confirms first death sentence: Leo Pilo Echegaray
1996-06-30,Americas,/en/documents/amr23/039/1996/es/,Colombia: Further information on apparent extrajudicial execution / fear for safety and new concern: torture: Civilians in Pailitas and other municipalities in Cesar Department
1996-06-30,Turkey,/en/documents/eur44/100/1996/es/,[SPANISH TITLE UNKNOWN]
1996-06-30,Africa,/en/documents/afr47/009/1996/en/,Rwanda: Further information on: fear for safety / fear of ill-treatment: Joseph Ruyenzi
1996-06-30,Bangladesh,/en/documents/asa13/007/1996/es/,Bangladesh: Fear for safety / unacknowledged detention: Kalpana Chakma (f) (includes correction)
1996-06-30,Turkey,/en/documents/eur44/100/1996/en/,Turkey: Fear of torture / torture
1996-06-30,Turkey,/en/documents/eur44/101/1996/es/,"Turkey: Fear of ""disappearance"": Abdurrahman Celikbilek"
1996-06-30,Bangladesh,/en/documents/asa13/007/1996/en/,Bangladesh: Fear for safety / unacknowledged detention: Kalpana Chakma (f)
1996-06-30,Philippines,/en/documents/asa35/005/1996/es/,Philippines: Death penalty: Supreme Court confirms first death sentence: Leo Pilo Echegaray
1996-06-30,Africa,/en/documents/afr47/009/1996/es/,Rwanda: Further information on: fear for safety / fear of ill-treatment: Joseph Ruyenzi
1996-06-30,Bahrain,/en/documents/mde11/020/1996/en/,Bahrain: Death penalty / legal concern
1996-06-30,Americas,/en/documents/amr23/039/1996/en/,Colombia: Further information on apparent extrajudicial execution / fear for safety and new concern: torture: Civilians in Pailitas and other municipalities in Cesar Department
1996-06-27,Americas,/en/documents/amr23/037/1996/en/,Colombia: Further information on: possible extrajudicial execution / fear for safety
1996-06-27,Americas,/en/documents/amr34/017/1996/en/,Guatemala: Fear for safety: Otto Leonel Hernandez
1996-06-27,Mexico,/en/documents/amr41/030/1996/es/,Mexico: Torture / fear for safety: Oswald Alonso
1996-06-27,Malaysia,/en/documents/asa28/010/1996/es/,Malaysia: Further information on legal concern / possible prolonged detention without trial / possible prisoners of conscience
1996-06-27,Americas,/en/documents/amr23/038/1996/es/,"Colombia: Further information on apparent extrajudicial executions / fear for safety and new concern: ""disappearance"""
1996-06-27,Mexico,/en/documents/amr41/030/1996/en/,Mexico: Torture / fear for safety: Oswald Alonso
1996-06-27,Turkey,/en/documents/eur44/099/1996/en/,Turkey: Further information on fear for safety / fear of torture
1996-06-27,Turkey,/en/documents/eur44/099/1996/es/,[SPANISH TITLE UNKNOWN]
1996-06-27,Turkey,/en/documents/eur44/098/1996/es/,[SPANISH TITLE UNKNOWN]
1996-06-27,Americas,/en/documents/amr23/037/1996/es/,Colombia: Further information on: possible extrajudicial execution / fear for safety
1996-06-27,Americas,/en/documents/amr34/017/1996/es/,Guatemala: Fear for safety: Otto Leonel Hernandez
1996-06-27,Bahamas,/en/documents/amr14/008/1996/es/,[SPANISH TITLE UNKNOWN]
1996-06-27,Americas,/en/documents/amr23/038/1996/en/,"Colombia: Further information on apparent extrajudicial executions / fear for safety and new concern: ""disappearance"""
1996-06-27,Sudan,/en/documents/afr54/012/1996/en/,Sudan: Fear of ill-treatment / possible prisoners of conscience
1996-06-27,Sudan,/en/documents/afr54/012/1996/es/,Sudan: Fear of ill-treatment / possible prisoners of conscience
1996-06-27,Africa,/en/documents/afr62/006/1996/en/,Zaire: Further information on: torture / legal concern / medical concern
1996-06-27,Africa,/en/documents/afr62/006/1996/es/,Zaire: Further information on: torture / legal concern / medical concern
1996-06-27,Malaysia,/en/documents/asa28/010/1996/en/,Malaysia: Further information on legal concern / possible prolonged detention without trial / possible prisoners of conscience
1996-06-27,Middle East and North Africa,/en/documents/mde17/006/1996/en/,Kuwait: Death penalty: Kuwaiti police officer (name unknown)
1996-06-27,Middle East and North Africa,/en/documents/mde17/006/1996/es/,Kuwait: Death penalty: Kuwaiti police officer (name unknown)
1996-06-27,Turkey,/en/documents/eur44/098/1996/en/,Turkey: Further information on fear of torture: Gulcin Ozgur (f)
1996-06-27,Bahamas,/en/documents/amr14/008/1996/en/,Bahamas: Death penalty
1996-06-26,Mexico,/en/documents/amr41/029/1996/en/,Mexico: Further information on: fear for safety: Bishop Arturo Lona Reyes
1996-06-26,Mexico,/en/documents/amr41/029/1996/es/,Mexico: Further information on: fear for safety: Bishop Arturo Lona Reyes
1996-06-26,Iran,/en/documents/mde13/022/1996/en/,Iran: Further information on: Death penalty: Ahmed Bakhtari
1996-06-26,Iran,/en/documents/mde13/022/1996/es/,Iran: Further information on: Death penalty: Ahmed Bakhtari
1996-06-25,Croatia,/en/documents/eur64/011/1996/en/,Croatia: Fear for safety / fear of ill-treatment
1996-06-25,Iran,/en/documents/mde13/020/1996/en/,Iran: Further information on fear of torture / legal concern and new concern: fear of death penalty
1996-06-25,Middle East and North Africa,/en/documents/mde15/045/1996/en/,Israel / Palestinian Authority: Further information on prisoner of conscience / ill-treatment: Dr Iyad al-Sarraj
1996-06-25,Africa,/en/documents/afr17/003/1996/en/,Cameroon: Further information on fear of torture / legal concern: More than 40 members of the Social Democratic Front (SDF)
1996-06-25,Mexico,/en/documents/amr41/028/1996/es/,Mexico: Death threats / fear for safety
1996-06-25,Africa,/en/documents/afr17/003/1996/es/,Cameroon: Further information on fear of torture / legal concern: More than 40 members of the Social Democratic Front (SDF)
1996-06-25,Americas,/en/documents/amr23/036/1996/en/,"Colombia: Possible extrajudicial executions / ""disappearance"" / fear for safety"
1996-06-25,Americas,/en/documents/amr23/036/1996/es/,"Colombia: Possible extrajudicial executions / ""disappearance"" / fear for safety"
1996-06-25,Mexico,/en/documents/amr41/028/1996/en/,Mexico: Death threats / fear for safety
