date,country,href,tite
2011-09-26,Iran,/en/documents/mde13/083/2011/en/,Iran: Further information: HIV/AIDS doctors released from prison in Iran
2011-09-26,Russian Federation,/en/documents/eur46/041/2011/en/,Russian federation: Prisoner needs urgent medical care: Shamkhan Aziev
2011-09-26,Russian Federation,/en/documents/eur46/041/2011/fr/,Russie. Un prisonnier a besoin de soins médicaux urgents
2011-09-26,Zimbabwe,/en/documents/afr46/022/2011/en/,Zimbabwe: Further information: Detained activists at risk of ill-treatment
2011-09-26,Bahrain,/en/documents/mde11/051/2011/es/,Bahréin: Condenas de cárcel a profesores Bahreiníes.
2011-09-23,Syria,/en/documents/mde24/058/2011/ar/,سوريا: مخاوف بشأن سلامة أحد الناشطين السوريين المفقودين
2011-09-23,Syria,/en/documents/mde24/058/2011/es/,Siria: Temor por activista sirio en paradero desconocido
2011-09-23,Pakistan,/en/documents/asa17/044/2011/es/,"China: Pakistaní ejecutado en Shanghai, China."
2011-09-23,Iran,/en/documents/mde13/082/2011/fr/,Iran. Des Azéris en détention
2011-09-23,Iran,/en/documents/mde13/082/2011/en/,Iran: Azerbaijani minority members detained in Iran
2011-09-23,Syria,/en/documents/mde24/058/2011/fr/,Syrie. Craintes pour un militant porté disparu
2011-09-23,Pakistan,/en/documents/asa17/044/2011/fr/,Chine. Un Pakistanais exécuté à Shanghai
2011-09-23,Iran,/en/documents/mde13/082/2011/es/,Iran: Detenidos en Irán miembros de la minoría Azerbaiyana.
2011-09-23,Syria,/en/documents/mde24/058/2011/en/,Syria: Fears for missing Syrian activist
2011-09-23,Pakistan,/en/documents/asa17/044/2011/en/,"China: Further information: Pakistani man executed in Shanghai, China"
2011-09-22,Bahrain,/en/documents/mde11/050/2011/en/,"Bahrain: On trial for ""spreading false rumours"""
2011-09-22,Bahrain,/en/documents/mde11/050/2011/fr/,Bahreïn. Jugé pour avoir « fait circuler de fausses rumeurs »
2011-09-22,Syria,/en/documents/mde24/056/2011/fr/,Syrie. Libération de George Sabra
2011-09-22,Zimbabwe,/en/documents/afr46/021/2011/fr/,Zimbabwe. Des militantes détenues
2011-09-22,Syria,/en/documents/mde24/056/2011/es/,Siria: En libertad George Sabra
2011-09-22,United States of America,/en/documents/amr51/082/2011/fr/,États-Unis. L'État de Géorgie exécute Troy Davis
2011-09-22,United States of America,/en/documents/amr51/082/2011/es/,EE. UU: Georgia ejecuta a Troy Davis.
2011-09-22,Mexico,/en/documents/amr41/057/2011/fr/,Mexique. Aucune charge retenue pour des publications sur des réseaux sociaux
2011-09-22,Syria,/en/documents/mde24/056/2011/en/,Syria: Further information: George Sabra released
2011-09-22,Zimbabwe,/en/documents/afr46/021/2011/es/,Zimbabue: Activistas detenidas en Zimbabue.
2011-09-22,Bahrain,/en/documents/mde11/050/2011/es/,"Bahréin: A juicio por ""propagar rumores falsos"""
2011-09-22,Mexico,/en/documents/amr41/057/2011/en/,Mexico: Further information: No charge for social media posts
2011-09-22,Mexico,/en/documents/amr41/057/2011/es/,México: No hay cargos por las publicaciones en medios sociales.
2011-09-22,United States of America,/en/documents/amr51/082/2011/en/,USA: Further information: Georgia executes Troy Davis
2011-09-22,Zimbabwe,/en/documents/afr46/021/2011/en/,Zimbabwe: Female activists detained in Zimbabwe
2011-09-21,Dominican Republic,/en/documents/amr27/004/2011/fr/,République dominicaine. Des migrants rassemblés et expulsés
2011-09-21,Dominican Republic,/en/documents/amr27/004/2011/es/,República Dominicana: Migrantes detenidos y expulsados.
2011-09-21,Dominican Republic,/en/documents/amr27/004/2011/en/,"Dominican Republic: Migrants rounded up, deported"
2011-09-20,Saudi Arabia,/en/documents/mde23/024/2011/en/,Saudi Arabia: Further information: Sudanese man executed in Saudi Arabia
2011-09-20,Saudi Arabia,/en/documents/mde23/024/2011/es/,Arabia Saudí: Ejecutado Sudanés en Arabia Saudí.
2011-09-20,Mexico,/en/documents/amr41/056/2011/fr/,Mexique. Huit hommes « disparus »
2011-09-20,Mexico,/en/documents/amr41/056/2011/en/,"Mexico: Eight men from Mexican family ""disappeared"""
2011-09-20,Saudi Arabia,/en/documents/mde23/024/2011/fr/,Arabie saoudite. Un Soudanais exécuté en Arabie saoudite
2011-09-20,Mexico,/en/documents/amr41/056/2011/es/,"México: Ocho hombres de una familia Mexicana, “desaparecidos"""
2011-09-19,Haiti,/en/documents/amr36/014/2011/en/,Haiti: Eviction threat for makeshift camp in Haiti
2011-09-19,Cambodia,/en/documents/asa23/008/2011/en/,Cambodia: Further information: Cambodian land activist beaten by police
2011-09-19,Mexico,/en/documents/amr41/055/2011/es/,Mexico: Nuevas amenazas contra un activista de defensa de los derechos de las personas migrantes
2011-09-19,Romania,/en/documents/eur39/009/2011/fr/,Roumanie. Une expulsion de Roms suspendue
2011-09-19,Ethiopia,/en/documents/afr25/008/2011/fr/,Éthiopie. Des détracteurs du gouvernement arrêtés risquent la torture
2011-09-19,Mexico,/en/documents/amr41/055/2011/fr/,Mexique. Des défenseurs des droits des migrants de nouveau menacés
2011-09-19,Haiti,/en/documents/amr36/014/2011/es/,Haiti: Amenaza de desalojo para un campamento improvisido en Haití.
2011-09-19,Sudan,/en/documents/afr54/029/2011/en/,Sudanese activist and poet tortured
2011-09-19,Romania,/en/documents/eur39/009/2011/en/,Romania: Further information: Eviction of Roma halted
